session,device,samples_raw,samples_out,duration_s,fs_input_hz,n_gaps,n_cycles,mean_freq_hz,cycle_cv
20260121_160212_unnamed,0,2254,2254,45.1,37.0,14,65,1.48,0.308
20260121_160212_unnamed,1,2256,2256,45.1,35.7,10,60,1.37,0.338
20260121_160342_unnamed,0,3367,3367,67.3,35.7,15,99,1.47,0.38
20260121_160342_unnamed,1,3365,3365,67.3,35.7,18,96,1.43,0.35
20260121_160439_unnamed,0,828,828,16.6,38.5,12,26,1.54,0.308
20260121_160439_unnamed,1,828,828,16.6,35.7,6,23,1.41,0.285
20260121_160602_unnamed,0,2180,2180,43.6,37.0,14,62,1.43,0.273
20260121_160602_unnamed,1,2180,2180,43.6,35.7,10,63,1.46,0.307
20260121_160745_we_are_the_champions,0,1820,1820,36.4,35.7,6,48,1.34,0.245
20260121_160745_we_are_the_champions,1,1819,1819,36.4,35.7,10,48,1.31,0.271
La_Dorset_2026-02-11_16-33-15,0,1671,1671,33.4,47.6,0,48,1.48,0.268
La_Dorset_2026-02-11_16-33-15,1,1669,1669,33.4,47.6,0,54,1.68,0.272
La_Native_2026-02-11_16-35-09,0,1510,1510,30.2,47.6,0,43,1.41,0.282
La_Native_2026-02-11_16-35-09,1,1508,1508,30.2,47.6,0,40,1.34,0.28
Ladoiska_2026-02-11_16-36-43,0,2262,2262,45.2,47.6,0,61,1.34,0.285
Ladoiska_2026-02-11_16-36-43,1,2263,2263,45.2,47.6,0,64,1.43,0.288
Les_Graces_2026-02-11_16-38-30,0,1955,1955,39.1,47.6,0,48,1.21,0.436
Les_Graces_2026-02-11_16-38-30,1,1958,1958,39.2,47.6,0,55,1.41,0.286
Les_Lanciers_2026-02-11_16-39-40,0,3325,3325,66.5,47.6,0,91,1.36,0.284
Les_Lanciers_2026-02-11_16-39-40,1,3325,3325,66.5,47.6,0,95,1.42,0.314
The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,0,2868,2868,57.4,47.6,0,80,1.41,0.337
The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,1,2873,2873,57.5,47.6,0,83,1.45,0.293
20260315_150630_experimental_jo,0,10110,10110,202.2,52.6,0,261,1.32,0.313
20260315_150630_experimental_jo,1,10108,10108,202.1,52.6,0,275,1.39,0.294
20260315_155448_experimental_jo,0,8974,8974,179.5,52.6,0,245,1.37,0.316
20260315_155448_experimental_jo,1,8973,8973,179.4,52.6,0,246,1.38,0.341
20260315_182722_experimental_jo,0,6590,6590,131.8,52.6,0,179,1.37,0.397
20260315_182722_experimental_jo,1,6590,6590,131.8,52.6,0,176,1.34,0.32
20260316_170025_experimental_oli,0,2146,2146,42.9,52.6,0,56,1.34,0.352
20260316_170025_experimental_oli,1,2146,2146,42.9,52.6,0,58,1.4,0.399
20260316_170310_experimental_oli,0,2952,2952,59.0,52.6,0,83,1.43,0.301
20260316_170310_experimental_oli,1,2952,2952,59.0,52.6,0,77,1.31,0.449
20260316_170613_experimental_jo,0,4650,4650,93.0,52.6,0,131,1.42,0.349
20260316_170613_experimental_jo,1,4652,4652,93.0,52.6,0,131,1.43,0.324
20260316_171050_experimental_oli,0,4857,4857,97.1,52.6,0,131,1.35,0.308
20260316_171050_experimental_oli,1,4857,4857,97.1,52.6,0,142,1.46,0.272
20260316_171550_experimental_jo,0,9352,9352,187.0,52.6,0,273,1.48,0.311
20260316_171550_experimental_jo,1,9351,9351,187.0,52.6,0,267,1.44,0.305
20260316_172228_experimental_jo,0,2774,2774,55.5,52.6,0,77,1.41,0.367
20260316_172228_experimental_jo,1,2773,2773,55.5,52.6,0,76,1.39,0.4
20260405_173949_experimental_progression,0,5134,5134,102.7,52.6,0,151,1.47,0.349
20260405_173949_experimental_progression,1,4773,4773,95.5,52.6,0,140,1.47,0.344
20260405_184437_experimental_bass-walk-down,0,4855,4855,97.1,52.6,0,130,1.35,0.336
