class,accuracy,f1,precision,recall,support
CCW,0.9097744360902256,0.7096774193548387,0.5817307692307693,0.9097744360902256,133
CW,0.34210526315789475,0.35374149659863946,0.36619718309859156,0.34210526315789475,76
FB,0.0,0.0,0.0,0.0,3
FB2,0.14814814814814814,0.24242424242424243,0.6666666666666666,0.14814814814814814,27
OL,0.2,0.2692307692307692,0.4117647058823529,0.2,35
OR,0.041666666666666664,0.08,1.0,0.041666666666666664,24
OSL,0.873015873015873,0.7236842105263158,0.6179775280898876,0.873015873015873,63
OSR,0.0,0.0,0.0,0.0,5
UL,0.0,0.0,0.0,0.0,1
UR,0.4057971014492754,0.3916083916083916,0.3783783783783784,0.4057971014492754,69
USL,0.13043478260869565,0.2222222222222222,0.75,0.13043478260869565,23
USR,0.4230769230769231,0.5365853658536586,0.7333333333333333,0.4230769230769231,26
