class,accuracy,f1,precision,recall,support
CCW,0.5413533834586466,0.414985590778098,0.3364485981308411,0.5413533834586466,133
CW,0.14473684210526316,0.15172413793103448,0.15942028985507245,0.14473684210526316,76
FB,0.0,0.0,0.0,0.0,3
FB2,0.037037037037037035,0.05555555555555555,0.1111111111111111,0.037037037037037035,27
OL,0.05714285714285714,0.07272727272727272,0.1,0.05714285714285714,35
OR,0.0,0.0,0.0,0.0,24
OSL,0.12698412698412698,0.1322314049586777,0.13793103448275862,0.12698412698412698,63
OSR,0.0,0.0,0.0,0.0,5
UL,0.0,0.0,0.0,0.0,1
UR,0.15942028985507245,0.16666666666666666,0.1746031746031746,0.15942028985507245,69
USL,0.08695652173913043,0.10256410256410256,0.125,0.08695652173913043,23
USR,0.11538461538461539,0.14285714285714285,0.1875,0.11538461538461539,26
