class,accuracy,f1,precision,recall,support
CCW,0.8045112781954887,0.6625386996904025,0.5631578947368421,0.8045112781954887,133
CW,0.5657894736842105,0.5088757396449705,0.46236559139784944,0.5657894736842105,76
FB,0.0,0.0,0.0,0.0,3
FB2,0.1111111111111111,0.15789473684210525,0.2727272727272727,0.1111111111111111,27
OL,0.2857142857142857,0.32786885245901637,0.38461538461538464,0.2857142857142857,35
OR,0.0,0.0,0.0,0.0,24
OSL,0.8095238095238095,0.85,0.8947368421052632,0.8095238095238095,63
OSR,0.4,0.5,0.6666666666666666,0.4,5
UL,0.0,0.0,0.0,0.0,1
UR,0.37681159420289856,0.39097744360902253,0.40625,0.37681159420289856,69
USL,0.2608695652173913,0.3076923076923077,0.375,0.2608695652173913,23
USR,0.34615384615384615,0.47368421052631576,0.75,0.34615384615384615,26
