cluster,bf2,clockwise,counter_clockwise,dragon_roll,idle,or osl,overhand_left,overhand_right,sneak_overhand,sneak_overhand_left,sneak_overhand_right,sneak_underhand,sneak_underhand_left,sneak_underhand_right,underhand_left,underhand_right,ur cw,vq
0,0.18421052631578946,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.07894736842105263,0.4473684210526316,0.0,0.0,0.02631578947368421,0.02631578947368421,0.0
1,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0
2,0.03896103896103896,0.06493506493506493,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.025974025974025976,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0
3,0.0,0.0,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.0,0.23076923076923078,0.0,0.0
4,0.0,0.42,0.1,0.0,0.0,0.0,0.06,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.36,0.0,0.0
5,0.0,0.058823529411764705,0.47058823529411764,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0
6,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111
7,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.4,0.37142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17142857142857143,0.0,0.0
8,0.0,0.2647058823529412,0.0,0.014705882352941176,0.0,0.0,0.07352941176470588,0.0,0.014705882352941176,0.0,0.0,0.0,0.029411764705882353,0.11764705882352941,0.0,0.4852941176470588,0.0,0.0
9,0.0,0.04411764705882353,0.5882352941176471,0.0,0.014705882352941176,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.3235294117647059,0.0,0.0
10,0.0,0.01694915254237288,0.5254237288135594,0.01694915254237288,0.01694915254237288,0.0,0.13559322033898305,0.06779661016949153,0.0,0.1016949152542373,0.0,0.0,0.0,0.05084745762711865,0.01694915254237288,0.05084745762711865,0.0,0.0
11,0.0,0.0,0.3482142857142857,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0
12,0.03333333333333333,0.13333333333333333,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.0,0.0,0.0,0.03333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0
13,0.0,0.2549019607843137,0.0,0.17647058823529413,0.0,0.0,0.21568627450980393,0.0784313725490196,0.0,0.0,0.0,0.0392156862745098,0.0196078431372549,0.1568627450980392,0.0,0.0392156862745098,0.0196078431372549,0.0
