cluster,label,count,cluster_total,p_label_given_cluster
0,counter_clockwise,40,67,0.5970149253731343
0,underhand_right,23,67,0.34328358208955223
0,clockwise,1,67,0.014925373134328358
0,idle,1,67,0.014925373134328358
0,sneak_overhand,1,67,0.014925373134328358
0,sneak_underhand_left,1,67,0.014925373134328358
1,clockwise,8,23,0.34782608695652173
1,overhand_left,8,23,0.34782608695652173
1,underhand_right,6,23,0.2608695652173913
1,counter_clockwise,1,23,0.043478260869565216
2,clockwise,16,54,0.2962962962962963
2,overhand_left,11,54,0.2037037037037037
2,dragon_roll,9,54,0.16666666666666666
2,sneak_underhand_right,8,54,0.14814814814814814
2,overhand_right,4,54,0.07407407407407407
2,sneak_underhand,2,54,0.037037037037037035
2,underhand_right,2,54,0.037037037037037035
2,sneak_underhand_left,1,54,0.018518518518518517
2,ur cw,1,54,0.018518518518518517
3,counter_clockwise,6,26,0.23076923076923078
3,sneak_overhand,4,26,0.15384615384615385
3,sneak_underhand_right,4,26,0.15384615384615385
3,clockwise,2,26,0.07692307692307693
3,overhand_left,2,26,0.07692307692307693
3,overhand_right,2,26,0.07692307692307693
3,sneak_underhand_left,2,26,0.07692307692307693
3,bf2,1,26,0.038461538461538464
3,dragon_roll,1,26,0.038461538461538464
3,or osl,1,26,0.038461538461538464
3,underhand_right,1,26,0.038461538461538464
4,counter_clockwise,5,17,0.29411764705882354
4,sneak_overhand_right,3,17,0.17647058823529413
4,sneak_underhand,3,17,0.17647058823529413
4,dragon_roll,2,17,0.11764705882352941
4,idle,2,17,0.11764705882352941
4,bf2,1,17,0.058823529411764705
4,clockwise,1,17,0.058823529411764705
5,overhand_right,13,33,0.3939393939393939
5,overhand_left,12,33,0.36363636363636365
5,underhand_right,6,33,0.18181818181818182
5,clockwise,2,33,0.06060606060606061
6,counter_clockwise,30,59,0.5084745762711864
6,overhand_left,8,59,0.13559322033898305
6,sneak_overhand_left,6,59,0.1016949152542373
6,overhand_right,5,59,0.0847457627118644
6,underhand_right,3,59,0.05084745762711865
6,idle,2,59,0.03389830508474576
6,sneak_underhand_right,2,59,0.03389830508474576
6,clockwise,1,59,0.01694915254237288
6,dragon_roll,1,59,0.01694915254237288
6,underhand_left,1,59,0.01694915254237288
7,sneak_overhand_left,55,75,0.7333333333333333
7,sneak_overhand,11,75,0.14666666666666667
7,bf2,3,75,0.04
7,clockwise,3,75,0.04
7,sneak_overhand_right,2,75,0.02666666666666667
7,underhand_right,1,75,0.013333333333333334
8,overhand_left,72,112,0.6428571428571429
8,counter_clockwise,39,112,0.3482142857142857
8,sneak_underhand,1,112,0.008928571428571428
9,underhand_right,33,72,0.4583333333333333
9,clockwise,20,72,0.2777777777777778
9,sneak_underhand_right,9,72,0.125
9,overhand_left,5,72,0.06944444444444445
9,sneak_underhand_left,2,72,0.027777777777777776
9,counter_clockwise,1,72,0.013888888888888888
9,dragon_roll,1,72,0.013888888888888888
9,sneak_overhand,1,72,0.013888888888888888
10,clockwise,22,57,0.38596491228070173
10,underhand_right,20,57,0.3508771929824561
10,counter_clockwise,6,57,0.10526315789473684
10,overhand_left,5,57,0.08771929824561403
10,idle,1,57,0.017543859649122806
10,sneak_overhand,1,57,0.017543859649122806
10,sneak_overhand_left,1,57,0.017543859649122806
10,sneak_underhand_right,1,57,0.017543859649122806
11,counter_clockwise,3,14,0.21428571428571427
11,underhand_right,3,14,0.21428571428571427
11,dragon_roll,2,14,0.14285714285714285
11,sneak_underhand_right,2,14,0.14285714285714285
11,idle,1,14,0.07142857142857142
11,overhand_left,1,14,0.07142857142857142
11,sneak_overhand_left,1,14,0.07142857142857142
11,vq,1,14,0.07142857142857142
12,sneak_underhand_left,17,39,0.4358974358974359
12,dragon_roll,8,39,0.20512820512820512
12,bf2,7,39,0.1794871794871795
12,counter_clockwise,2,39,0.05128205128205128
12,sneak_underhand,2,39,0.05128205128205128
12,sneak_overhand,1,39,0.02564102564102564
12,underhand_right,1,39,0.02564102564102564
12,ur cw,1,39,0.02564102564102564
