cluster,clockwise,counter_clockwise,dragon_roll,idle,overhand_left,overhand_right,sneak_overhand,sneak_overhand_left,sneak_overhand_right,sneak_underhand,sneak_underhand_left,sneak_underhand_right,underhand_right,ur cw,vq
0,0.1,0.0,0.0,0.0,0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
1,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.38461538461538464,0.0,0.07692307692307693
2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.25,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
4,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.55,0.0,0.05,0.0,0.0
5,0.05,0.55,0.05,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0
6,0.0,0.375,0.1875,0.0625,0.0,0.0,0.0,0.0,0.1875,0.0625,0.0625,0.0625,0.0,0.0,0.0
7,0.2,0.0,0.3,0.0,0.2,0.15,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.0
8,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.35,0.0,0.0
10,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
11,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
