cluster,clockwise,counter_clockwise,dragon_roll,idle,or osl,overhand_left,overhand_right,sneak_overhand,sneak_overhand_left,sneak_overhand_right,sneak_underhand,sneak_underhand_left,sneak_underhand_right,underhand_left,underhand_right,ur cw,vq
0,0.058823529411764705,0.029411764705882353,0.0,0.0,0.0,0.35294117647058826,0.38235294117647056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0
1,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.38461538461538464,0.0,0.07692307692307693
2,0.05194805194805195,0.0,0.03896103896103896,0.0,0.0,0.012987012987012988,0.0,0.14285714285714285,0.7142857142857143,0.025974025974025976,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0
3,0.2631578947368421,0.039473684210526314,0.039473684210526314,0.0,0.0,0.06578947368421052,0.0,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.10526315789473684,0.0,0.4342105263157895,0.0,0.0
4,0.0,0.0,0.3783783783783784,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.08108108108108109,0.4594594594594595,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0
5,0.01282051282051282,0.4358974358974359,0.02564102564102564,0.02564102564102564,0.01282051282051282,0.11538461538461539,0.08974358974358974,0.02564102564102564,0.08974358974358974,0.0,0.0,0.02564102564102564,0.08974358974358974,0.01282051282051282,0.038461538461538464,0.0,0.0
6,0.0,0.375,0.1875,0.0625,0.0,0.0,0.0,0.0,0.0,0.1875,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0
7,0.2830188679245283,0.018867924528301886,0.16981132075471697,0.0,0.0,0.20754716981132076,0.07547169811320754,0.0,0.0,0.0,0.03773584905660377,0.0,0.1509433962264151,0.0,0.03773584905660377,0.018867924528301886,0.0
8,0.0,0.35398230088495575,0.0,0.0,0.0,0.6371681415929203,0.0,0.0,0.0,0.0,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0
9,0.3684210526315789,0.10526315789473684,0.0,0.017543859649122806,0.0,0.08771929824561403,0.0,0.03508771929824561,0.017543859649122806,0.0,0.017543859649122806,0.0,0.0,0.0,0.3508771929824561,0.0,0.0
10,0.043478260869565216,0.5797101449275363,0.0,0.028985507246376812,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.3188405797101449,0.0,0.0
11,0.4,0.0,0.04,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0
