cluster,20260121_160212_unnamed,20260121_160342_unnamed,20260121_160439_unnamed,20260121_160602_unnamed,20260121_160745_we_are_the_champions,20260302_100832_underhand_default,20260302_171509_experimental_under-over-exp,20260302_173754_experimental_free,20260303_171447_experimental_oli,20260303_171847_experimental_jo,20260303_172052_experimental_oli,20260303_172356_experimental_jo,20260303_172529_experimental_jo,20260303_172739_experimental_jo,20260303_173008_experimental_oli,20260303_173116_experimental_oli,20260303_174607_underhand_jo,20260303_174743_underhand_oli,20260303_174948_overhand_oli,20260303_175338_overhand_jo,20260303_175458_dragon_roll_oli,20260303_175703_dragon_roll_jo,20260303_180119_race_and_chase_jo,20260303_180712_sneak_underhand_jo,20260303_181059_sneak_overhand_oli,20260303_182528_sneak_overhand_jo,20260303_182756_cheetahs_tail_jo,20260315_150630_experimental_jo,20260315_155448_experimental_jo,20260315_182722_experimental_jo,20260316_170025_experimental_oli,20260316_170310_experimental_oli,20260316_170613_experimental_jo,20260316_171050_experimental_oli,20260316_171550_experimental_jo,20260316_172228_experimental_jo,20260405_173949_experimental_progression,20260405_184437_experimental_bass-walk-down,20260405_184729_experimental_pachelbel,20260405_184905_experimental_pachelbel,20260405_184927_experimental_pachelbel,20260405_185105_experimental_pachelbel,20260405_185331_experimental_birth-death,20260405_185509_experimental_bass-walk-down,20260406_211811_experimental_jo div,20260406_212408_experimental_jo div,La_Dorset_2026-02-11_16-33-15,La_Native_2026-02-11_16-35-09,Ladoiska_2026-02-11_16-36-43,Les_Graces_2026-02-11_16-38-30,Les_Lanciers_2026-02-11_16-39-40,The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,dominant
0,9,7,0,4,5,23,16,21,13,25,9,3,8,12,7,0,28,17,6,12,0,48,5,22,6,0,6,12,15,12,6,6,14,11,13,3,15,9,2,5,0,9,4,6,31,25,4,1,4,0,4,5,20260303_175703_dragon_roll_jo
1,1,1,2,2,0,0,3,7,1,3,2,1,0,0,2,0,1,0,6,16,0,0,2,3,0,3,0,18,12,17,0,0,13,1,32,1,18,21,0,0,0,5,18,11,38,28,1,0,0,1,1,1,20260406_211811_experimental_jo div
2,4,4,2,11,7,1,16,31,18,27,10,5,4,5,5,9,5,7,33,36,3,0,11,2,8,2,20,11,6,3,10,4,0,24,5,5,2,5,0,2,0,12,1,2,18,21,2,0,1,3,6,9,20260303_175338_overhand_jo
3,4,2,5,5,2,1,10,26,1,18,4,0,2,8,1,0,2,1,9,14,0,0,1,35,1,0,0,13,7,4,1,3,16,1,25,5,15,17,9,4,1,3,11,8,60,55,0,1,0,0,2,1,20260406_211811_experimental_jo div
4,14,14,2,16,4,10,6,31,7,21,27,39,8,13,9,12,3,2,15,15,2,6,13,2,10,1,1,12,9,4,4,9,2,6,6,5,8,2,2,4,1,3,3,4,14,11,11,6,20,17,19,6,20260303_172356_experimental_jo
5,2,11,1,1,1,1,11,47,3,27,11,19,5,15,7,3,4,0,1,27,4,2,1,42,1,0,2,25,26,10,5,4,3,6,23,9,13,21,8,8,1,11,10,18,38,30,3,4,2,4,15,12,20260302_173754_experimental_free
6,3,9,6,1,2,2,17,25,9,22,7,4,3,11,8,6,1,4,4,32,16,3,0,0,3,35,2,21,13,9,3,7,11,14,30,13,13,7,10,7,2,3,9,5,34,23,10,3,4,1,5,8,20260303_182528_sneak_overhand_jo
7,1,9,1,3,2,10,15,17,9,19,7,3,9,12,6,3,14,7,0,4,0,0,1,1,0,0,1,14,17,13,1,7,11,8,18,2,1,8,21,16,1,8,6,5,56,47,0,1,1,2,3,6,20260406_211811_experimental_jo div
8,1,7,0,6,6,32,18,22,7,26,9,2,14,15,4,7,29,12,5,3,0,0,22,0,5,0,8,24,26,12,4,7,16,5,18,7,19,3,8,10,3,8,11,1,17,24,1,4,6,8,5,6,20260302_100832_underhand_default
9,4,6,0,1,4,4,9,34,12,30,4,0,5,19,5,2,1,3,28,28,0,51,2,18,1,1,14,26,24,20,6,1,6,18,22,2,1,13,10,8,0,21,0,7,21,14,0,10,2,2,11,7,20260303_175703_dragon_roll_jo
10,2,6,0,3,3,18,14,8,12,5,3,1,2,13,1,0,16,3,2,3,1,1,3,2,1,1,0,15,18,16,0,1,7,2,4,3,9,0,12,13,2,7,23,0,37,31,5,1,5,2,4,5,20260406_211811_experimental_jo div
11,4,5,3,0,2,1,2,36,11,26,19,1,8,16,5,3,1,0,1,9,28,6,0,0,13,53,1,15,23,12,4,8,5,21,21,2,1,3,26,15,2,1,2,1,50,43,3,2,1,0,3,6,20260303_182528_sneak_overhand_jo
