cluster,clockwise,counter_clockwise,dragon_roll,idle,overhand_left,overhand_right,sneak_overhand,sneak_overhand_left,sneak_overhand_right,sneak_underhand,sneak_underhand_left,sneak_underhand_right,underhand_left,underhand_right
0,0.0,0.8,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
1,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2,0.0,0.55,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
3,0.0,0.0,0.5,0.0,0.05,0.15,0.0,0.0,0.0,0.05,0.2,0.0,0.0,0.05
4,0.45,0.0,0.0,0.0,0.1,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.25
5,0.0,0.45,0.0,0.0,0.25,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.05,0.05,0.1,0.35,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.05,0.1
7,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.75,0.0,0.0
9,0.1,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.1,0.0,0.0,0.0,0.65
10,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.85,0.05,0.0,0.0,0.0,0.0,0.0
11,0.35,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
