cluster,20260121_160212_unnamed,20260121_160342_unnamed,20260121_160439_unnamed,20260121_160602_unnamed,20260121_160745_we_are_the_champions,20260302_100832_underhand_default,20260302_171509_experimental_under-over-exp,20260302_173754_experimental_free,20260303_171447_experimental_oli,20260303_171847_experimental_jo,20260303_172052_experimental_oli,20260303_172356_experimental_jo,20260303_172529_experimental_jo,20260303_172739_experimental_jo,20260303_173008_experimental_oli,20260303_173116_experimental_oli,20260303_174607_underhand_jo,20260303_174743_underhand_oli,20260303_174948_overhand_oli,20260303_175338_overhand_jo,20260303_175458_dragon_roll_oli,20260303_175703_dragon_roll_jo,20260303_180712_sneak_underhand_jo,20260303_181059_sneak_overhand_oli,20260303_182528_sneak_overhand_jo,20260315_150630_experimental_jo,20260315_155448_experimental_jo,20260315_182722_experimental_jo,20260316_170025_experimental_oli,20260316_170310_experimental_oli,20260316_170613_experimental_jo,20260316_171050_experimental_oli,20260316_171550_experimental_jo,20260316_172228_experimental_jo,20260405_173949_experimental_progression,20260405_184437_experimental_bass-walk-down,20260405_184729_experimental_pachelbel,20260405_184905_experimental_pachelbel,20260405_184927_experimental_pachelbel,20260405_185105_experimental_pachelbel,20260405_185331_experimental_birth-death,20260405_185509_experimental_bass-walk-down,20260406_211811_experimental_jo div,20260406_212408_experimental_jo div,La_Dorset_2026-02-11_16-33-15,La_Native_2026-02-11_16-35-09,Ladoiska_2026-02-11_16-36-43,Les_Graces_2026-02-11_16-38-30,Les_Lanciers_2026-02-11_16-39-40,The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,dominant
0,7,13,3,25,5,13,10,30,13,18,26,34,8,13,6,11,5,3,16,15,2,6,2,13,0,16,10,8,5,9,2,7,9,5,6,2,1,1,1,1,0,2,11,9,11,6,19,14,21,3,20260303_172356_experimental_jo
1,1,0,1,1,0,0,3,6,0,3,2,1,0,0,1,0,1,0,9,16,0,0,3,0,4,17,13,17,0,0,13,1,30,1,18,21,0,0,0,5,18,11,38,28,1,0,0,1,1,0,20260406_211811_experimental_jo div
2,4,11,2,1,2,1,4,24,14,13,11,20,6,13,12,5,4,2,0,16,4,5,8,5,13,19,24,10,4,6,5,12,25,5,13,13,2,6,1,4,10,13,42,29,8,0,2,5,14,9,20260406_211811_experimental_jo div
3,3,0,0,0,0,0,2,26,3,22,2,0,3,17,1,1,1,0,1,11,0,4,0,3,51,14,18,12,1,0,5,3,17,0,0,2,19,15,2,1,4,0,42,44,1,1,0,0,1,2,20260303_182528_sneak_overhand_jo
4,1,7,0,5,4,32,18,26,5,24,10,1,14,16,5,3,29,9,5,1,0,0,0,3,0,21,23,11,4,2,16,4,16,7,18,8,8,9,3,8,11,1,19,23,1,4,4,5,4,6,20260302_100832_underhand_default
5,2,6,4,4,2,10,26,33,12,29,4,4,11,11,4,4,15,1,1,22,0,0,1,0,0,17,18,10,1,9,12,18,18,2,2,10,22,18,1,6,6,5,63,61,0,1,0,1,2,6,20260406_211811_experimental_jo div
6,3,2,0,1,3,2,9,31,11,31,2,0,5,19,4,1,1,3,28,28,0,50,18,3,2,25,23,20,6,2,6,17,22,2,1,7,13,10,0,21,0,7,22,14,1,8,3,3,12,7,20260303_175703_dragon_roll_jo
7,5,2,4,3,2,2,10,24,1,18,2,0,3,10,2,0,1,1,8,10,0,0,35,1,0,14,8,4,2,3,16,1,26,6,15,16,8,4,1,0,9,8,58,50,0,1,0,0,2,1,20260406_211811_experimental_jo div
8,1,4,0,3,1,19,14,9,5,5,3,0,2,13,0,1,16,3,1,3,2,1,2,1,1,13,19,14,0,1,5,2,5,3,9,0,12,12,3,8,21,0,37,29,4,0,5,2,4,5,20260406_211811_experimental_jo div
9,11,19,4,4,13,1,3,15,8,14,22,11,5,2,7,9,0,4,2,5,28,13,0,14,2,5,5,1,5,12,0,20,4,2,2,5,7,2,1,5,5,3,11,9,5,3,5,3,6,15,20260303_175458_dragon_roll_oli
10,1,3,0,0,0,1,9,37,3,22,2,0,6,8,1,0,0,0,2,19,1,0,34,0,0,13,7,2,0,1,0,1,4,6,0,6,10,6,0,9,3,6,8,10,0,4,2,0,5,8,20260302_173754_experimental_free
11,5,7,0,5,3,21,17,28,19,29,9,4,3,12,5,4,31,21,33,24,2,37,24,2,1,11,13,12,12,4,14,22,17,5,16,12,2,6,0,19,3,5,35,25,4,1,1,2,4,3,20260303_175703_dragon_roll_jo
12,5,7,4,1,3,1,12,16,9,21,17,3,2,5,12,6,1,9,4,29,15,1,0,4,22,21,15,11,4,8,10,9,24,13,15,7,4,3,0,4,8,7,28,21,4,4,5,4,2,7,20260303_175338_overhand_jo
