cluster,label,count,cluster_total,p_label_given_cluster
0,sneak_overhand,7,20,0.35
0,counter_clockwise,4,20,0.2
0,dragon_roll,4,20,0.2
0,overhand_left,2,20,0.1
0,idle,1,20,0.05
0,overhand_right,1,20,0.05
0,sneak_overhand_right,1,20,0.05
1,counter_clockwise,9,20,0.45
1,idle,4,20,0.2
1,underhand_left,3,20,0.15
1,underhand_right,3,20,0.15
1,overhand_left,1,20,0.05
2,underhand_right,16,20,0.8
2,clockwise,4,20,0.2
3,underhand_right,2,3,0.6666666666666666
3,dragon_roll,1,3,0.3333333333333333
4,counter_clockwise,10,20,0.5
4,overhand_right,6,20,0.3
4,overhand_left,4,20,0.2
5,overhand_right,8,20,0.4
5,dragon_roll,4,20,0.2
5,overhand_left,3,20,0.15
5,underhand_right,3,20,0.15
5,clockwise,2,20,0.1
6,idle,19,20,0.95
6,sneak_underhand,1,20,0.05
7,overhand_left,15,20,0.75
7,counter_clockwise,5,20,0.25
8,counter_clockwise,16,20,0.8
8,underhand_right,3,20,0.15
8,sneak_underhand_left,1,20,0.05
9,underhand_right,10,20,0.5
9,clockwise,6,20,0.3
9,overhand_right,3,20,0.15
9,dragon_roll,1,20,0.05
10,clockwise,11,20,0.55
10,overhand_left,7,20,0.35
10,underhand_right,2,20,0.1
11,clockwise,7,20,0.35
11,sneak_overhand_left,5,20,0.25
11,overhand_right,3,20,0.15
11,sneak_underhand_right,3,20,0.15
11,dragon_roll,1,20,0.05
11,overhand_left,1,20,0.05
12,sneak_overhand_left,15,20,0.75
12,sneak_overhand,3,20,0.15
12,sneak_overhand_right,2,20,0.1
