cluster,clockwise,counter_clockwise,dragon_roll,idle,overhand_left,overhand_right,sneak_overhand,sneak_overhand_left,sneak_overhand_right,sneak_underhand,sneak_underhand_left,sneak_underhand_right,underhand_left,underhand_right,ur cw,vq
0,0.0,0.35,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2,0.0,0.0
1,0.3,0.05,0.25,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0
2,0.1,0.15,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.05,0.45,0.05,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.0
4,0.05,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.05,0.0
5,0.0,0.35,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.1,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
7,0.0,0.05,0.05,0.0,0.0,0.0,0.15,0.65,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0
8,0.0,0.38461538461538464,0.3076923076923077,0.07692307692307693,0.0,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
9,0.5,0.0,0.05,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
10,0.1,0.4,0.05,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.0
11,0.05,0.05,0.2,0.05,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
12,0.1,0.1,0.25,0.0,0.25,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.05
