cluster,clockwise,counter_clockwise,dragon_roll,idle,idle or ol?,or osl,overhand_left,overhand_right,sneak_overhand,sneak_overhand_left,sneak_overhand_right,sneak_underhand,sneak_underhand_left,sneak_underhand_right,underhand_left,underhand_right,ur cw,vq
0,0.0,0.5943396226415094,0.1792452830188679,0.009433962264150943,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0660377358490566,0.0,0.05660377358490566,0.08490566037735849,0.0,0.0
1,0.2072072072072072,0.02702702702702703,0.12612612612612611,0.009009009009009009,0.0,0.0,0.16216216216216217,0.05405405405405406,0.0,0.18018018018018017,0.0,0.009009009009009009,0.0,0.10810810810810811,0.018018018018018018,0.09009009009009009,0.009009009009009009,0.0
2,0.14583333333333334,0.11805555555555555,0.11805555555555555,0.13194444444444445,0.0,0.0,0.14583333333333334,0.09027777777777778,0.05555555555555555,0.013888888888888888,0.013888888888888888,0.006944444444444444,0.013888888888888888,0.013888888888888888,0.0,0.13194444444444445,0.0,0.0
3,0.072992700729927,0.15328467153284672,0.11678832116788321,0.08759124087591241,0.0,0.0072992700729927005,0.145985401459854,0.0364963503649635,0.021897810218978103,0.014598540145985401,0.014598540145985401,0.043795620437956206,0.0,0.10948905109489052,0.021897810218978103,0.15328467153284672,0.0,0.0
4,0.06306306306306306,0.1981981981981982,0.15315315315315314,0.11711711711711711,0.009009009009009009,0.0,0.0990990990990991,0.08108108108108109,0.06306306306306306,0.009009009009009009,0.0,0.02702702702702703,0.018018018018018018,0.036036036036036036,0.018018018018018018,0.0990990990990991,0.009009009009009009,0.0
5,0.0,0.3055555555555556,0.020833333333333332,0.0,0.0,0.0,0.6180555555555556,0.0,0.006944444444444444,0.006944444444444444,0.034722222222222224,0.006944444444444444,0.0,0.0,0.0,0.0,0.0,0.0
6,0.23076923076923078,0.0,0.06153846153846154,0.0,0.0,0.0,0.17692307692307693,0.0,0.0,0.0,0.0,0.08461538461538462,0.007692307692307693,0.023076923076923078,0.007692307692307693,0.4,0.0,0.007692307692307693
7,0.029411764705882353,0.0196078431372549,0.09803921568627451,0.0,0.0,0.0,0.00980392156862745,0.0,0.11764705882352941,0.6078431372549019,0.06862745098039216,0.0,0.0,0.0196078431372549,0.0,0.029411764705882353,0.0,0.0
8,0.0,0.38461538461538464,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
9,0.2389937106918239,0.018867924528301886,0.15723270440251572,0.0,0.0,0.0,0.1509433962264151,0.09433962264150944,0.031446540880503145,0.031446540880503145,0.0,0.025157232704402517,0.0,0.05660377358490566,0.0,0.16981132075471697,0.025157232704402517,0.0
10,0.030534351145038167,0.32061068702290074,0.1297709923664122,0.04580152671755725,0.0,0.0,0.015267175572519083,0.007633587786259542,0.007633587786259542,0.0,0.0,0.022900763358778626,0.10687022900763359,0.061068702290076333,0.030534351145038167,0.22137404580152673,0.0,0.0
11,0.07692307692307693,0.019230769230769232,0.2692307692307692,0.019230769230769232,0.0,0.0,0.2692307692307692,0.15384615384615385,0.038461538461538464,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0
12,0.08,0.12,0.2,0.0,0.0,0.0,0.28,0.0,0.04,0.12,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.04
