class,precision,recall,f1,support
dragon_roll,0.44,0.4479638009049774,0.4439461883408072,221
underhand_right,0.40575916230366493,0.421195652173913,0.41333333333333333,368
underhand_left,0.0,0.0,0.0,18
overhand_left,0.5404663923182441,0.6533996683250415,0.5915915915915916,603
overhand_right,0.08,0.07017543859649122,0.07476635514018691,57
sneak_underhand_left,0.5555555555555556,0.38461538461538464,0.45454545454545453,26
sneak_underhand_right,0.5178571428571429,0.5178571428571429,0.5178571428571429,56
sneak_overhand_left,0.6521739130434783,0.4639175257731959,0.5421686746987951,97
sneak_overhand_right,0.4166666666666667,0.29411764705882354,0.3448275862068966,17
clockwise,0.2676056338028169,0.13380281690140844,0.1784037558685446,142
counter_clockwise,0.40609137055837563,0.35398230088495575,0.37825059101654845,226
unknown,0.2191780821917808,0.23357664233576642,0.22614840989399293,137
