class,precision,recall,f1,support
dragon_roll,0.46261682242990654,0.4479638009049774,0.45517241379310347,221
underhand_right,0.36538461538461536,0.41304347826086957,0.3877551020408163,368
underhand_left,0.0,0.0,0.0,18
overhand_left,0.5531609195402298,0.6384742951907131,0.5927636643571979,603
overhand_right,0.1111111111111111,0.08771929824561403,0.09803921568627451,57
sneak_underhand_left,0.3076923076923077,0.15384615384615385,0.20512820512820512,26
sneak_underhand_right,0.4166666666666667,0.44642857142857145,0.43103448275862066,56
sneak_overhand_left,0.68,0.5257731958762887,0.5930232558139535,97
sneak_overhand_right,0.375,0.17647058823529413,0.24,17
clockwise,0.20192307692307693,0.14788732394366197,0.17073170731707318,142
counter_clockwise,0.39908256880733944,0.38495575221238937,0.3918918918918919,226
unknown,0.2818181818181818,0.22627737226277372,0.25101214574898784,137
