class,precision,recall,f1,support
dragon_roll,0.36585365853658536,0.6108597285067874,0.4576271186440678,221
underhand_right,0.43322475570032576,0.36141304347826086,0.3940740740740741,368
underhand_left,0.0,0.0,0.0,18
overhand_left,0.5873320537428023,0.5074626865671642,0.5444839857651246,603
overhand_right,0.15625,0.2631578947368421,0.19607843137254902,57
sneak_underhand_left,0.6470588235294118,0.4230769230769231,0.5116279069767442,26
sneak_underhand_right,0.7560975609756098,0.5535714285714286,0.6391752577319587,56
sneak_overhand_left,0.5714285714285714,0.5360824742268041,0.5531914893617021,97
sneak_overhand_right,0.8333333333333334,0.29411764705882354,0.43478260869565216,17
clockwise,0.35,0.29577464788732394,0.32061068702290074,142
counter_clockwise,0.46443514644351463,0.4911504424778761,0.4774193548387097,226
unknown,0.3525641025641026,0.40145985401459855,0.37542662116040953,137
