class,precision,recall,f1,support
dragon_roll,0.6897689768976898,0.5887323943661972,0.6352583586626139,355
underhand_right,0.41325536062378165,0.527363184079602,0.4633879781420765,402
underhand_left,0.5932203389830508,0.4069767441860465,0.4827586206896552,86
overhand_left,0.5027746947835738,0.6335664335664336,0.5606435643564357,715
overhand_right,0.6423841059602649,0.5511363636363636,0.5932721712538226,176
sneak_underhand_left,0.7272727272727273,0.21621621621621623,0.3333333333333333,74
sneak_underhand_right,0.8571428571428571,0.6835443037974683,0.7605633802816901,79
sneak_overhand_left,0.7904761904761904,0.6287878787878788,0.70042194092827,132
sneak_overhand_right,0.45454545454545453,0.17857142857142858,0.2564102564102564,28
clockwise,0.5588235294117647,0.4,0.4662576687116564,190
counter_clockwise,0.6125461254612546,0.5743944636678201,0.5928571428571429,289
idle,0.594059405940594,0.5454545454545454,0.5687203791469194,110
unknown,0.0,0.0,0.0,0
