class,precision,recall,f1,support
dragon_roll,0.7101910828025477,0.6281690140845071,0.6666666666666666,355
underhand_right,0.5722543352601156,0.4925373134328358,0.5294117647058824,402
underhand_left,0.3055555555555556,0.12790697674418605,0.18032786885245902,86
overhand_left,0.4232299124900557,0.7440559440559441,0.539553752535497,715
overhand_right,0.5384615384615384,0.2784090909090909,0.36704119850187267,176
sneak_underhand_left,0.9166666666666666,0.14864864864864866,0.2558139534883721,74
sneak_underhand_right,0.9305555555555556,0.8481012658227848,0.8874172185430463,79
sneak_overhand_left,0.9523809523809523,0.6060606060606061,0.7407407407407407,132
sneak_overhand_right,0.7142857142857143,0.17857142857142858,0.2857142857142857,28
clockwise,0.5147058823529411,0.18421052631578946,0.2713178294573643,190
counter_clockwise,0.7198067632850241,0.5155709342560554,0.6008064516129032,289
idle,0.6197183098591549,0.8,0.6984126984126984,110
unknown,0.0,0.0,0.0,0
