class,precision,recall,f1,support
dragon_roll,0.695906432748538,0.6704225352112676,0.6829268292682927,355
underhand_right,0.4149797570850202,0.5099502487562189,0.4575892857142857,402
underhand_left,0.4044943820224719,0.4186046511627907,0.4114285714285714,86
overhand_left,0.5861486486486487,0.4853146853146853,0.5309869931140015,715
overhand_right,0.5314285714285715,0.5284090909090909,0.5299145299145299,176
sneak_underhand_left,0.1834862385321101,0.2702702702702703,0.2185792349726776,74
sneak_underhand_right,0.7397260273972602,0.6835443037974683,0.7105263157894737,79
sneak_overhand_left,0.551948051948052,0.6439393939393939,0.5944055944055944,132
sneak_overhand_right,0.625,0.7142857142857143,0.6666666666666666,28
clockwise,0.40714285714285714,0.3,0.34545454545454546,190
counter_clockwise,0.6654804270462633,0.6470588235294118,0.656140350877193,289
idle,0.5548387096774193,0.7818181818181819,0.6490566037735849,110
unknown,0.0,0.0,0.0,0
