class,precision,recall,f1,support
dragon_roll,0.7746478873239436,0.7746478873239436,0.7746478873239436,71
underhand_right,0.5913978494623656,0.6790123456790124,0.632183908045977,81
underhand_left,0.8666666666666667,0.7647058823529411,0.8125,17
overhand_left,0.69375,0.7762237762237763,0.7326732673267327,143
overhand_right,0.875,0.8,0.835820895522388,35
sneak_underhand_left,1.0,0.4,0.5714285714285714,15
sneak_underhand_right,1.0,0.8125,0.896551724137931,16
sneak_overhand_left,0.9411764705882353,0.6153846153846154,0.7441860465116279,26
sneak_overhand_right,1.0,0.3333333333333333,0.5,6
clockwise,0.8823529411764706,0.7894736842105263,0.8333333333333334,38
counter_clockwise,0.8867924528301887,0.8103448275862069,0.8468468468468469,58
idle,0.65625,0.9545454545454546,0.7777777777777778,22
