class,precision,recall,f1,support
dragon_roll,0.8169014084507042,0.8169014084507042,0.8169014084507042,71
underhand_right,0.6470588235294118,0.6790123456790124,0.6626506024096386,81
underhand_left,0.7619047619047619,0.9411764705882353,0.8421052631578947,17
overhand_left,0.8062015503875969,0.7272727272727273,0.7647058823529411,143
overhand_right,0.7948717948717948,0.8857142857142857,0.8378378378378378,35
sneak_underhand_left,0.6470588235294118,0.7333333333333333,0.6875,15
sneak_underhand_right,0.9375,0.9375,0.9375,16
sneak_overhand_left,0.76,0.7307692307692307,0.7450980392156863,26
sneak_overhand_right,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
clockwise,0.9333333333333333,0.7368421052631579,0.8235294117647058,38
counter_clockwise,0.8095238095238095,0.8793103448275862,0.8429752066115702,58
idle,0.7692307692307693,0.9090909090909091,0.8333333333333334,22
