class,precision,recall,f1,support
dragon_roll,0.7922077922077922,0.8591549295774648,0.8243243243243243,71
underhand_right,0.6024096385542169,0.6172839506172839,0.6097560975609756,81
underhand_left,0.6071428571428571,1.0,0.7555555555555555,17
overhand_left,0.8703703703703703,0.6573426573426573,0.749003984063745,143
overhand_right,0.7948717948717948,0.8857142857142857,0.8378378378378378,35
sneak_underhand_left,0.5789473684210527,0.7333333333333333,0.6470588235294118,15
sneak_underhand_right,0.8333333333333334,0.9375,0.8823529411764706,16
sneak_overhand_left,0.8181818181818182,0.6923076923076923,0.75,26
sneak_overhand_right,0.8571428571428571,1.0,0.9230769230769231,6
clockwise,0.8,0.7368421052631579,0.7671232876712328,38
counter_clockwise,0.8620689655172413,0.8620689655172413,0.8620689655172413,58
idle,0.6470588235294118,1.0,0.7857142857142857,22
