class,precision,recall,f1,support
dragon_roll,0.7341772151898734,0.8169014084507042,0.7733333333333333,71
underhand_right,0.6052631578947368,0.5679012345679012,0.5859872611464968,81
underhand_left,0.8823529411764706,0.8823529411764706,0.8823529411764706,17
overhand_left,0.8053097345132744,0.6363636363636364,0.7109375,143
overhand_right,0.8484848484848485,0.8,0.8235294117647058,35
sneak_underhand_left,0.7,0.4666666666666667,0.56,15
sneak_underhand_right,1.0,0.9375,0.967741935483871,16
sneak_overhand_left,0.76,0.7307692307692307,0.7450980392156863,26
sneak_overhand_right,1.0,0.6666666666666666,0.8,6
clockwise,0.8571428571428571,0.7894736842105263,0.821917808219178,38
counter_clockwise,0.8545454545454545,0.8103448275862069,0.831858407079646,58
idle,0.3333333333333333,1.0,0.5,22
