class,precision,recall,f1,support
dragon_roll,0.5657894736842105,0.6056338028169014,0.5850340136054422,71
underhand_right,0.5256410256410257,0.5061728395061729,0.5157232704402516,81
underhand_left,1.0,0.6470588235294118,0.7857142857142857,17
overhand_left,0.5109170305676856,0.8181818181818182,0.6290322580645161,143
overhand_right,0.8947368421052632,0.4857142857142857,0.6296296296296297,35
sneak_underhand_left,0.5,0.06666666666666667,0.11764705882352941,15
sneak_underhand_right,1.0,0.75,0.8571428571428571,16
sneak_overhand_left,0.7619047619047619,0.6153846153846154,0.6808510638297872,26
sneak_overhand_right,1.0,0.3333333333333333,0.5,6
clockwise,0.8181818181818182,0.23684210526315788,0.3673469387755102,38
counter_clockwise,0.9705882352941176,0.5689655172413793,0.717391304347826,58
idle,0.6060606060606061,0.9090909090909091,0.7272727272727273,22
