class,precision,recall,f1,support
dragon_roll,0.8,0.9014084507042254,0.847682119205298,71
underhand_right,0.75,0.6296296296296297,0.6845637583892618,81
underhand_left,0.85,1.0,0.918918918918919,17
overhand_left,0.7577639751552795,0.8531468531468531,0.8026315789473685,143
overhand_right,0.9666666666666667,0.8285714285714286,0.8923076923076924,35
sneak_underhand_left,0.8461538461538461,0.7333333333333333,0.7857142857142857,15
sneak_underhand_right,1.0,0.9375,0.967741935483871,16
sneak_overhand_left,0.9444444444444444,0.6538461538461539,0.7727272727272727,26
sneak_overhand_right,1.0,0.6666666666666666,0.8,6
clockwise,0.868421052631579,0.868421052631579,0.868421052631579,38
counter_clockwise,0.8928571428571429,0.8620689655172413,0.8771929824561403,58
idle,0.72,0.8181818181818182,0.7659574468085106,22
