class,precision,recall,f1,support
dragon_roll,0.56,0.5915492957746479,0.5753424657534246,71
underhand_right,0.5733333333333334,0.5308641975308642,0.5512820512820513,81
underhand_left,1.0,0.6470588235294118,0.7857142857142857,17
overhand_left,0.5288888888888889,0.8321678321678322,0.6467391304347826,143
overhand_right,0.8095238095238095,0.4857142857142857,0.6071428571428571,35
sneak_underhand_left,0.3333333333333333,0.06666666666666667,0.1111111111111111,15
sneak_underhand_right,1.0,0.6875,0.8148148148148148,16
sneak_overhand_left,0.6956521739130435,0.6153846153846154,0.6530612244897959,26
sneak_overhand_right,1.0,0.3333333333333333,0.5,6
clockwise,0.9166666666666666,0.2894736842105263,0.44,38
counter_clockwise,0.9444444444444444,0.5862068965517241,0.723404255319149,58
idle,0.5882352941176471,0.9090909090909091,0.7142857142857143,22
