class,precision,recall,f1,support
dragon_roll,0.8333333333333334,0.9154929577464789,0.87248322147651,71
underhand_right,0.7246376811594203,0.6172839506172839,0.6666666666666666,81
underhand_left,0.8947368421052632,1.0,0.9444444444444444,17
overhand_left,0.754601226993865,0.8601398601398601,0.803921568627451,143
overhand_right,0.9666666666666667,0.8285714285714286,0.8923076923076924,35
sneak_underhand_left,0.8181818181818182,0.6,0.6923076923076923,15
sneak_underhand_right,1.0,0.9375,0.967741935483871,16
sneak_overhand_left,0.9473684210526315,0.6923076923076923,0.8,26
sneak_overhand_right,1.0,0.6666666666666666,0.8,6
clockwise,0.8918918918918919,0.868421052631579,0.88,38
counter_clockwise,0.8947368421052632,0.8793103448275862,0.8869565217391304,58
idle,0.7692307692307693,0.9090909090909091,0.8333333333333334,22
