class,precision,recall,f1,support
dragon_roll,0.5802469135802469,0.6619718309859155,0.618421052631579,71
underhand_right,0.5555555555555556,0.5555555555555556,0.5555555555555556,81
underhand_left,0.9333333333333333,0.8235294117647058,0.875,17
overhand_left,0.6292134831460674,0.7832167832167832,0.6978193146417445,143
overhand_right,0.8214285714285714,0.6571428571428571,0.7301587301587301,35
sneak_underhand_left,0.5714285714285714,0.26666666666666666,0.36363636363636365,15
sneak_underhand_right,1.0,0.8125,0.896551724137931,16
sneak_overhand_left,0.8,0.6153846153846154,0.6956521739130435,26
sneak_overhand_right,0.75,0.5,0.6,6
clockwise,0.6086956521739131,0.3684210526315789,0.45901639344262296,38
counter_clockwise,0.9130434782608695,0.7241379310344828,0.8076923076923077,58
idle,0.625,0.9090909090909091,0.7407407407407407,22
