class,precision,recall,f1,support
dragon_roll,0.7926829268292683,0.9154929577464789,0.8496732026143791,71
underhand_right,0.7183098591549296,0.6296296296296297,0.6710526315789473,81
underhand_left,0.85,1.0,0.918918918918919,17
overhand_left,0.78125,0.8741258741258742,0.8250825082508251,143
overhand_right,0.9666666666666667,0.8285714285714286,0.8923076923076924,35
sneak_underhand_left,0.8461538461538461,0.7333333333333333,0.7857142857142857,15
sneak_underhand_right,1.0,0.9375,0.967741935483871,16
sneak_overhand_left,0.9411764705882353,0.6153846153846154,0.7441860465116279,26
sneak_overhand_right,1.0,0.6666666666666666,0.8,6
clockwise,0.8857142857142857,0.8157894736842105,0.8493150684931506,38
counter_clockwise,0.9122807017543859,0.896551724137931,0.9043478260869565,58
idle,0.7916666666666666,0.8636363636363636,0.8260869565217391,22
