class,precision,recall,f1,support
dragon_roll,0.8333333333333334,0.9154929577464789,0.87248322147651,71
underhand_right,0.676056338028169,0.5925925925925926,0.631578947368421,81
underhand_left,0.8421052631578947,0.9411764705882353,0.8888888888888888,17
overhand_left,0.7469135802469136,0.8461538461538461,0.7934426229508197,143
overhand_right,0.9666666666666667,0.8285714285714286,0.8923076923076924,35
sneak_underhand_left,0.8333333333333334,0.6666666666666666,0.7407407407407407,15
sneak_underhand_right,1.0,0.9375,0.967741935483871,16
sneak_overhand_left,0.9411764705882353,0.6153846153846154,0.7441860465116279,26
sneak_overhand_right,1.0,0.6666666666666666,0.8,6
clockwise,0.8648648648648649,0.8421052631578947,0.8533333333333334,38
counter_clockwise,0.8596491228070176,0.8448275862068966,0.8521739130434782,58
idle,0.7692307692307693,0.9090909090909091,0.8333333333333334,22
