class,precision,recall,f1,support
dragon_roll,0.8311688311688312,0.9014084507042254,0.8648648648648649,71
underhand_right,0.7142857142857143,0.6172839506172839,0.6622516556291391,81
underhand_left,0.8947368421052632,1.0,0.9444444444444444,17
overhand_left,0.7592592592592593,0.8601398601398601,0.8065573770491803,143
overhand_right,0.9666666666666667,0.8285714285714286,0.8923076923076924,35
sneak_underhand_left,0.8333333333333334,0.6666666666666666,0.7407407407407407,15
sneak_underhand_right,1.0,0.9375,0.967741935483871,16
sneak_overhand_left,0.9444444444444444,0.6538461538461539,0.7727272727272727,26
sneak_overhand_right,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
clockwise,0.868421052631579,0.868421052631579,0.868421052631579,38
counter_clockwise,0.9090909090909091,0.8620689655172413,0.8849557522123894,58
idle,0.7307692307692307,0.8636363636363636,0.7916666666666666,22
