class,precision,recall,f1,support
dragon_roll,0.8311688311688312,0.9014084507042254,0.8648648648648649,71
underhand_right,0.7575757575757576,0.6172839506172839,0.6802721088435374,81
underhand_left,0.85,1.0,0.918918918918919,17
overhand_left,0.7619047619047619,0.8951048951048951,0.8231511254019293,143
overhand_right,0.9375,0.8571428571428571,0.8955223880597015,35
sneak_underhand_left,0.7692307692307693,0.6666666666666666,0.7142857142857143,15
sneak_underhand_right,1.0,0.9375,0.967741935483871,16
sneak_overhand_left,0.9444444444444444,0.6538461538461539,0.7727272727272727,26
sneak_overhand_right,1.0,0.8333333333333334,0.9090909090909091,6
clockwise,0.9411764705882353,0.8421052631578947,0.8888888888888888,38
counter_clockwise,0.9433962264150944,0.8620689655172413,0.9009009009009009,58
idle,0.7037037037037037,0.8636363636363636,0.7755102040816326,22
