class,precision,recall,f1,support
dragon_roll,0.8181818181818182,0.8873239436619719,0.8513513513513513,71
underhand_right,0.7878787878787878,0.6419753086419753,0.7074829931972789,81
underhand_left,0.8947368421052632,1.0,0.9444444444444444,17
overhand_left,0.7678571428571429,0.9020979020979021,0.8295819935691319,143
overhand_right,0.9666666666666667,0.8285714285714286,0.8923076923076924,35
sneak_underhand_left,0.7857142857142857,0.7333333333333333,0.7586206896551724,15
sneak_underhand_right,1.0,0.9375,0.967741935483871,16
sneak_overhand_left,1.0,0.6538461538461539,0.7906976744186046,26
sneak_overhand_right,1.0,0.6666666666666666,0.8,6
clockwise,0.868421052631579,0.868421052631579,0.868421052631579,38
counter_clockwise,0.9433962264150944,0.8620689655172413,0.9009009009009009,58
idle,0.7037037037037037,0.8636363636363636,0.7755102040816326,22
